Code,ENG,KOR,Latitude,Longitude
46110,Mokpo-si,목포시,34.757535006887515,126.36935364271417
46130,Yeosu-si,여수시,34.00957806882883,127.3178428144079
46150,Suncheon-si,순천시,34.826754282599616,127.43917333598883
46170,Naju-si,나주시,34.98667171358303,126.7100428662919
46230,Gwangyang-si,광양시,34.89315611977153,127.59452848536418
46710,Damyang-gun,담양군,35.27460159261277,126.97917179115872
46720,Gokseong-gun,곡성군,35.20369360000452,127.26751216711912
46730,Gurye-gun,구례군,35.21339165909206,127.49832831348324
46770,Goheung-gun,고흥군,34.503089394352514,127.14827175548419
46780,Boseong-gun,보성군,34.71105584121739,127.19972477181027
46790,Hwasun-gun,화순군,35.01463084892164,127.01370556752099
46800,Jangheung-gun,장흥군,34.43648046658051,126.92988009190206
46810,Gangjin-gun,강진군,34.44900141933216,126.81499193017909
46830,Yeongam-gun,영암군,34.724451551398445,126.43200111342367
46840,Muan-gun,무안군,34.8548624311066,126.40346868391302
46860,Hampyeong-gun,함평군,35.11494708818846,126.53902444807045
46870,Yeonggwang-gun,영광군,35.16992601465309,126.35794217690739
46880,Jangseong-gun,장성군,35.2885401489499,126.75790434458531
46890,Wando-gun,완도군,33.98859590542697,126.92139126454714
46900,Jindo-gun,진도군,34.14534151918408,125.94474877880559
46910,Sinan-gun,신안군,35.06217965336602,126.21201017057106
47111,"Nam-gu, Pohang-si",포항시 남구,35.84561617232283,129.51863137349793
47113,"Buk-gu, Pohang-si",포항시 북구,36.096040050860694,129.4609941747837
47130,Gyeongju-si,경주시,35.73823457933184,129.48676954912875
47150,Gimcheon-si,김천시,36.072238233872575,128.08828821797545
47170,Andong-si,안동시,36.577328922135656,128.7328074472493
47190,Gumi-si,구미시,36.185323742019975,128.33775762483617
47210,Yeongju-si,영주시,36.82823359344155,128.63230965039014
47230,Yeongcheon-si,영천시,35.983464712412804,128.91769727529586
47250,Sangju-si,상주시,36.46468312140101,128.0485736756034
47280,Mungyeong-si,문경시,36.64816880820417,128.14790121331998
47290,Gyeongsan-si,경산시,35.86039258108775,128.80896554437209
